iter	Passed	Remaining
0	1	167
1	2	143
2	4	137
3	5	132
4	6	129
5	8	126
6	9	125
7	10	124
8	12	123
9	14	128
10	15	127
11	17	126
12	18	125
13	20	125
14	21	124
15	23	122
16	24	120
17	26	118
18	27	117
19	29	116
20	30	114
21	31	112
22	33	111
23	34	109
24	35	107
25	37	106
26	38	104
27	40	102
28	41	101
29	42	99
30	44	98
31	45	97
32	47	96
33	49	95
34	50	94
35	52	92
36	53	91
37	55	89
38	56	89
39	58	87
40	60	87
41	61	85
42	63	83
43	64	82
44	66	81
45	67	79
46	69	77
47	70	76
48	72	75
49	73	73
50	74	71
51	76	70
52	79	70
53	80	68
54	82	67
55	84	66
56	86	64
57	87	63
58	89	62
59	90	60
60	92	59
61	93	57
62	95	56
63	97	54
64	100	54
65	101	52
66	103	51
67	105	49
68	107	48
69	108	46
70	110	44
71	111	43
72	113	41
73	116	40
74	117	39
75	119	37
76	121	36
77	122	34
78	124	33
79	126	31
80	127	30
81	129	28
82	131	26
83	132	25
84	134	23
85	137	22
86	138	20
87	140	19
88	141	17
89	143	15
90	144	14
91	145	12
92	147	11
93	148	9
94	149	7
95	151	6
96	152	4
97	154	3
98	155	1
99	157	0
